Title,Year Published,Rating,Length (Min)
High School Musical 3: Senior Year,2008,PG,100
Hill The,2013,,0
Hocus Pocus,1993,PG,96
Holes,2003,PG,117
Home on the Range,2004,PG,76
Homeward Bound II: Lost in San Francisco,1996,G,89
Homeward Bound: The Incredible Journey,1993,G,84
Honey I Blew Up the Kid,1992,PG,89
Honey I Shrunk the Kids,1989,PG,93
Horse in the Gray Flannel Suit The,1968,G,113
Horse Sense,1999,G,92
Hot Lead and Cold Feet,1978,G,90
Hounded,2001,G,92
Howl's Moving Castle,2004,PG,119
Hunchback of Notre Dame The,1996,G,91
I'll Be Home for Christmas,1998,PG,86
Ice Princess,2005,G,98
In Search of Castaways,1962,NR,98
Incredible Journey The,1963,G,80
Incredibles The,2004,PG,115
Inside Out,2015,,0
Inspector Gadget,1999,PG,78
Inspector Gadget 2,2003,G,89
Into The Woods,2014,,0
Invincible,2006,PG,105
Iron Will,1994,PG,108
Island at the Top of the World The,1974,NR,93
James and the Giant Peach,1996,PG,79
Jennie Project The,2001,G,76
Jett Jackson: The Movie,2001,G,100
John Carter,2012,PG-13,132
Johnny Kapahala: Back on Board,2007,G,92
Johnny Tremain,1957,NR,80
Johnny Tsunami,1999,G,88
Journey of Natty Gann The,1985,PG,101
Jump In!,2007,G,85
Jumping Ship,2001,G,93
Jungle 2 Jungle,1997,PG,105
Jungle Book 2 The,2003,G,72
Jungle Book The,1967,G,78
Jungle Cruise,2014,,0
Kid in King Arthur's Court A,1995,PG,89
Kid The,2000,PG,104
Kidnapped,1960,PG,95
Kim Possible Movie: So the Drama,2005,G,81
Kim Possible: A Sitch in Time,2003,G,66
King of the Grizzlies,1970,G,93
Knight In Camelot A,1998,NR,90
Kronk's New Groove,2005,G,72
Lady and the Tramp,1955,G,76
Lady and the Tramp II: Scamp's Adventure,2001,G,69
Last Flight of Noah's Ark. The,1980,G,97
Legend of Lobo The,1962,G,69
Lemonade Mouth,2011,G,107
Let It Shine,2012,NR,0
Life is Ruff,2005,G,84
Light in the Forest The,1958,NR,83
Lilo & Stitch,2002,PG,85
Lilo and Stitch 2: Stich Has a Glitch,2005,PG,68
Lion King 1 1/2 The,2004,G,77
Lion King II: Simbas Pride The,1998,G,81
Lion King The,1994,G,89
Little Mermaid II The: Return to the Sea,2000,G,72
Little Mermaid III - Ariel's Beginning,2008,NR,77
Little Mermaid The,1989,G,83
Littlest Outlaw The,1955,NR,73
